threshold,C,l1_ratio,class_weight,mean_recall,std_recall,mean_precision,std_precision,mean_f1,std_f1,mean_roc_auc,std_roc_auc,mean_accuracy,std_accuracy,balanced_score,is_best
0.3,0.1,0.5,balanced,0.9060502283105023,0.03601935356946621,0.09660728023102622,0.004359599874449473,0.1745931163169468,0.007723609523696652,0.6782603946173783,0.03200068308637383,0.3260860123684086,0.014029791457790923,0.4752672465536196,True
0.3,0.1,0.5,"0:1.0,1:8.0",0.842427701674277,0.02927556120488094,0.11231941263193557,0.005892468113468269,0.19820431943332284,0.009962073003627897,0.6777608510722125,0.03196978959910363,0.4636054855308502,0.013765671789528275,0.46591141373304024,False
0.3,0.1,0.5,"0:1.0,1:6.0",0.7180365296803652,0.04890075581565044,0.11990327555720388,0.010752835366514859,0.2054690395810114,0.017738698073924298,0.6777530095634821,0.03223883004759344,0.5624526743143087,0.02072602411468132,0.43230463960135984,False
0.3,0.1,0.5,"0:1.0,1:4.0",0.48630136986301364,0.06959193382604206,0.12985320130322459,0.020509748856441135,0.20490101669497154,0.03154407195101319,0.6768419768699954,0.032464168247736624,0.7023622716329132,0.020621017800121738,0.36494736083245216,False
0.3,0.1,0.5,"0:1.0,1:3.0",0.3011796042617961,0.03495069325819514,0.13563732306619833,0.017917381899302632,0.18693932590687262,0.023264035912854537,0.6762571580008767,0.03247286496050023,0.7936137468724922,0.01188355419303586,0.30624947512198186,False
0.3,0.1,0.5,"0:1.0,1:2.0",0.12724505327245053,0.0351740529899406,0.18304778554778553,0.05174413525227986,0.14938282032927702,0.04056535070580192,0.6744244920107816,0.03185181221644604,0.8861620167115138,0.008926529669207078,0.2561660658531571,False
0.3,0.1,0.5,"0:1.0,1:1.5",0.03595890410958904,0.012551310884680854,0.19267399267399268,0.04064668867822997,0.05961596993647689,0.017851934638341713,0.6728283790287525,0.031300845763370666,0.911796251711278,0.004315995233322074,0.2084258376912446,False
0.3,0.1,0.5,none,0.0027777777777777775,0.006211299937499415,0.2,0.447213595499958,0.005479452054794521,0.01225242727397145,0.670578550947452,0.030197715960748953,0.9211386489165839,0.0012168295159829473,0.18631890653652236,False
0.3,0.1,0.5,"0:1.0,1:0.75",0.0,0.0,0.0,0.0,0.0,0.0,0.6688716155299074,0.028915853267765308,0.9213558041825992,0.0005647426135001825,0.13377432310598147,False
0.3,0.1,0.5,"0:1.0,1:0.5",0.0,0.0,0.0,0.0,0.0,0.0,0.6671046770634531,0.027571254048738073,0.9213558041825992,0.0005647426135001825,0.13342093541269062,False
