threshold,C,l1_ratio,class_weight,mean_recall,std_recall,mean_precision,std_precision,mean_f1,std_f1,mean_roc_auc,std_roc_auc,mean_accuracy,std_accuracy,balanced_score,is_best
0.2,0.1,0.5,balanced,0.9862252663622527,0.013794481165188055,0.08669373461913008,0.0010765820901428116,0.15937662379453243,0.0019577579658775633,0.6782603946173783,0.03200068308637383,0.18183708634282209,0.005480884188114511,0.49303724843556707,True
0.25,0.1,0.5,balanced,0.9696727549467277,0.0203841632117651,0.09282006715678895,0.0020965474438552514,0.16941981335453868,0.003727574640178587,0.6782603946173783,0.03200068308637383,0.25222324505499694,0.010903578354382295,0.4921138755353258,False
0.05,0.1,0.5,balanced,1.0,0.0,0.07872978975600527,0.000571634073615092,0.14596716599722503,0.000982325429508036,0.6782603946173783,0.03200068308637383,0.07973068026247462,0.0009773047375223392,0.4918263178617832,False
0.1,0.1,0.5,balanced,0.9972602739726029,0.006126213636985751,0.07974789048975826,0.0007697888232989405,0.14768529364015168,0.0013600176207801621,0.6782603946173783,0.03200068308637383,0.094722890997498,0.00835477940900107,0.4916884571477339,False
0.15,0.1,0.5,balanced,0.9917047184170471,0.012401601944901862,0.08220436544260883,0.0006452539221772243,0.15182294639676305,0.0011972093741854646,0.6782603946173783,0.03200068308637383,0.12861256668082896,0.006242312291339372,0.4916703224084328,False
0.3,0.1,0.5,balanced,0.9060502283105023,0.03601935356946621,0.09660728023102622,0.004359599874449473,0.1745931163169468,0.007723609523696652,0.6782603946173783,0.03200068308637383,0.3260860123684086,0.014029791457790923,0.4752672465536196,False
0.35,0.1,0.5,balanced,0.878310502283105,0.049810126415204506,0.10588897845227811,0.007511897520215542,0.1889899187370007,0.013118998588337684,0.6782603946173783,0.03200068308637383,0.4066846055799462,0.015799017692321744,0.4728649539057269,False
0.4,0.1,0.5,balanced,0.8230593607305936,0.04576088850845329,0.11462781674057472,0.008343311632291267,0.2012210538138707,0.014193057085790509,0.6782603946173783,0.03200068308637383,0.48554619270169475,0.017551697766926663,0.46153210478126516,False
0.45,0.1,0.5,balanced,0.7291095890410959,0.03883245912578519,0.12014347491951793,0.008945524442642095,0.20627463146880384,0.014678264028324216,0.6782603946173783,0.03200068308637383,0.5581076806873436,0.01748142619065276,0.4359894822328849,False
0.5,0.1,0.5,balanced,0.6353120243531203,0.04273382678588899,0.12775829289159574,0.011929225598342797,0.21271285583090194,0.01890078608404241,0.6782603946173783,0.03200068308637383,0.6293716659585517,0.018429886981557998,0.4113634734100362,False
0.55,0.1,0.5,balanced,0.5028538812785388,0.04855867790300421,0.12925637656625338,0.01578425820831694,0.2055860351559465,0.02384913011654772,0.6782603946173783,0.03200068308637383,0.6934563093046311,0.01945601943548923,0.3702188462375873,False
0.6,0.1,0.5,balanced,0.38957382039573824,0.043566886272250825,0.13517815699163988,0.019344531642500235,0.20061235964771207,0.02682242419683201,0.6782603946173783,0.03200068308637383,0.7549416985318416,0.017360314293190553,0.33647185420203507,False
0.65,0.1,0.5,balanced,0.265220700152207,0.03581592579341077,0.1399978916105,0.024335994919891836,0.18307723389460256,0.02893299458118002,0.6782603946173783,0.03200068308637383,0.812947410659491,0.014699699102681384,0.2959870703454134,False
0.7,0.1,0.5,balanced,0.17964231354642315,0.034162282106644626,0.16572727272727272,0.025360427274158753,0.17213810176285796,0.028629044759106197,0.6782603946173783,0.03200068308637383,0.8646520794977105,0.005399451926208777,0.27401111660993527,False
0.75,0.1,0.5,balanced,0.11343226788432267,0.04363243410196941,0.21114730797657627,0.06215450341143746,0.14598101530803767,0.04906106166589684,0.6782603946173783,0.03200068308637383,0.8970233205872633,0.007187629733927684,0.25896384010992596,False
0.85,0.1,0.5,balanced,0.013812785388127852,0.00010420901017982612,0.29999999999999993,0.12638125740085918,0.026252834884413833,0.0004468002146156085,0.6782603946173783,0.03200068308637383,0.9194006986734646,0.0013931245542601013,0.22135912326101748,False
0.8,0.1,0.5,balanced,0.03595890410958904,0.015854388627092587,0.19555555555555554,0.0821583836257749,0.05986151292676627,0.024776738461797156,0.6782603946173783,0.03200068308637383,0.9120136430156258,0.004284164467317487,0.2102940172769328,False
0.9,0.1,0.5,balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.6782603946173783,0.03200068308637383,0.9213558041825992,0.0005647426135001825,0.13565207892347567,False
0.95,0.1,0.5,balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.6782603946173783,0.03200068308637383,0.9213558041825992,0.0005647426135001825,0.13565207892347567,False
