# Joint Sweep: C x l1_ratio x class_weight (5-fold Stratified CV)

```text
      C  l1_ratio class_weight  mean_recall  std_recall  mean_precision  std_precision  mean_f1  std_f1  mean_roc_auc  std_roc_auc  mean_accuracy  std_accuracy  balanced_score  is_best
 1.0000    0.5000  0:1.0,1:2.0       0.1466      0.0379          0.1675         0.0411   0.1551  0.0356        0.6750       0.0327         0.8751        0.0111          0.2596    False
 1.0000    0.2000  0:1.0,1:2.0       0.1466      0.0379          0.1664         0.0393   0.1547  0.0352        0.6751       0.0325         0.8749        0.0103          0.2593    False
 0.1000    0.2000  0:1.0,1:2.0       0.1355      0.0350          0.1762         0.0484   0.1526  0.0388        0.6763       0.0328         0.8816        0.0086          0.2581    False
 0.1000    0.5000  0:1.0,1:2.0       0.1272      0.0352          0.1830         0.0517   0.1494  0.0406        0.6744       0.0319         0.8862        0.0089          0.2562    False
 1.0000    0.8000  0:1.0,1:2.0       0.1383      0.0386          0.1610         0.0350   0.1473  0.0331        0.6749       0.0327         0.8753        0.0109          0.2535    False
 0.1000    0.8000  0:1.0,1:2.0       0.1162      0.0416          0.1901         0.0671   0.1435  0.0503        0.6718       0.0306         0.8912        0.0087          0.2526    False
 1.0000    0.2000         none       0.0193      0.0075          0.3233         0.2019   0.0361  0.0139        0.6749       0.0325         0.9190        0.0021          0.2307    False
 1.0000    0.5000         none       0.0193      0.0075          0.3067         0.2043   0.0360  0.0140        0.6749       0.0326         0.9187        0.0019          0.2265    False
 1.0000    0.8000         none       0.0166      0.0061          0.2952         0.2132   0.0312  0.0120        0.6751       0.0330         0.9187        0.0021          0.2216    False
10.0000    0.2000         none       0.0166      0.0061          0.2952         0.2212   0.0311  0.0120        0.6742       0.0337         0.9185        0.0025          0.2214    False
10.0000    0.5000         none       0.0166      0.0061          0.2952         0.2212   0.0311  0.0120        0.6741       0.0337         0.9185        0.0025          0.2214    False
10.0000    0.8000         none       0.0166      0.0061          0.2952         0.2212   0.0311  0.0120        0.6740       0.0337         0.9185        0.0025          0.2213    False
 0.0100    0.2000  0:1.0,1:2.0       0.0497      0.0158          0.1938         0.0654   0.0780  0.0219        0.6690       0.0264         0.9083        0.0049          0.2167    False
 0.1000    0.2000         none       0.0083      0.0076          0.2167         0.2173   0.0159  0.0146        0.6747       0.0321         0.9201        0.0014          0.1956    False
 0.1000    0.5000         none       0.0028      0.0062          0.2000         0.4472   0.0055  0.0123        0.6706       0.0302         0.9211        0.0012          0.1863    False
 0.0100    0.5000  0:1.0,1:2.0       0.0055      0.0076          0.1167         0.1624   0.0105  0.0144        0.6711       0.0232         0.9207        0.0013          0.1677    False
 0.0100    0.2000         none       0.0000      0.0000          0.0000         0.0000   0.0000  0.0000        0.6708       0.0247         0.9214        0.0006          0.1342    False
 0.0100    0.8000  0:1.0,1:2.0       0.0000      0.0000          0.0000         0.0000   0.0000  0.0000        0.6680       0.0227         0.9214        0.0006          0.1336    False
 0.1000    0.8000         none       0.0000      0.0000          0.0000         0.0000   0.0000  0.0000        0.6672       0.0284         0.9211        0.0009          0.1334    False
 0.0100    0.5000         none       0.0000      0.0000          0.0000         0.0000   0.0000  0.0000        0.6650       0.0253         0.9214        0.0006          0.1330    False
 0.0100    0.8000         none       0.0000      0.0000          0.0000         0.0000   0.0000  0.0000        0.6441       0.0302         0.9214        0.0006          0.1288    False
```
